city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
Chennai,EdTech,AI Researcher,6,21.59,PyTorch,0
Hyderabad,EdTech,AI Researcher,2,13.32,ChatGPT,1
Hyderabad,Finance,AI Researcher,3,14.37,TensorFlow,1
Delhi,Finance,Data Analyst,6,16.49,AWS AI,1
Delhi,Finance,Data Analyst,1,4.5,PyTorch,1
Delhi,IT,AI Researcher,0,11.95,Scikit-learn,1
Hyderabad,Finance,Data Analyst,10,28.09,PyTorch,1
Mumbai,IT,AI Researcher,0,11.37,ChatGPT,1
Pune,EdTech,Data Analyst,10,25.14,Scikit-learn,0
Bangalore,Finance,AI Researcher,1,12.56,Azure AI,1
Mumbai,IT,ML Engineer,9,24.75,Scikit-learn,1
Hyderabad,Finance,AI Researcher,1,12.9,Azure AI,1
Mumbai,E-commerce,Data Scientist,2,8.84,TensorFlow,0
Bangalore,Healthcare,AI Researcher,7,25.53,ChatGPT,1
Bangalore,Manufacturing,Data Analyst,0,3.0,Azure AI,1
Chennai,E-commerce,Data Analyst,0,4.46,PyTorch,1
Mumbai,E-commerce,AI Researcher,4,16.77,ChatGPT,1
Hyderabad,IT,Data Analyst,4,16.63,TensorFlow,1
Chennai,Manufacturing,AI Researcher,0,10.81,Azure AI,0
Pune,IT,ML Engineer,8,20.84,AWS AI,1
Pune,E-commerce,Data Scientist,6,17.16,Scikit-learn,1
Delhi,Finance,AI Researcher,2,16.96,PyTorch,0
Pune,Finance,AI Researcher,2,12.24,Scikit-learn,1
Bangalore,Healthcare,Data Analyst,3,12.3,Azure AI,0
Bangalore,IT,Data Analyst,8,22.07,ChatGPT,0
Pune,E-commerce,ML Engineer,5,18.45,PyTorch,1
Bangalore,IT,ML Engineer,8,24.03,AWS AI,0
Bangalore,Healthcare,AI Researcher,0,8.21,Scikit-learn,1
Hyderabad,EdTech,Data Analyst,7,22.05,TensorFlow,0
Pune,IT,ML Engineer,9,24.49,Scikit-learn,1
Bangalore,IT,Data Scientist,5,13.25,Azure AI,1
Pune,IT,AI Researcher,11,31.75,TensorFlow,0
Pune,EdTech,AI Engineer,1,8.3,ChatGPT,1
Bangalore,Manufacturing,Data Scientist,1,9.74,PyTorch,1
Bangalore,Healthcare,ML Engineer,0,6.64,ChatGPT,0
Pune,EdTech,Data Analyst,6,17.01,Azure AI,1
Pune,Manufacturing,Data Scientist,2,9.09,ChatGPT,0
Bangalore,Finance,AI Researcher,2,11.26,Scikit-learn,0
Delhi,Finance,ML Engineer,6,21.07,AWS AI,1
Pune,Manufacturing,ML Engineer,10,28.34,AWS AI,1
Pune,Manufacturing,AI Researcher,0,12.31,TensorFlow,1
Delhi,Manufacturing,Data Analyst,6,17.11,PyTorch,0
Bangalore,Manufacturing,Data Analyst,1,7.48,ChatGPT,1
Pune,Finance,ML Engineer,11,26.59,AWS AI,1
Mumbai,Healthcare,AI Engineer,10,24.89,ChatGPT,1
Mumbai,Healthcare,Data Analyst,10,23.97,PyTorch,1
Delhi,Healthcare,AI Researcher,1,9.88,PyTorch,1
Chennai,IT,Data Analyst,1,6.53,Azure AI,1
Bangalore,Manufacturing,ML Engineer,9,25.85,TensorFlow,1
Chennai,Healthcare,ML Engineer,8,25.03,Azure AI,0
Bangalore,Healthcare,Data Scientist,3,13.41,Azure AI,1
Delhi,EdTech,ML Engineer,7,22.38,TensorFlow,0
Mumbai,Manufacturing,AI Engineer,7,22.19,PyTorch,1
Bangalore,EdTech,ML Engineer,1,7.66,Scikit-learn,0
Chennai,Finance,Data Scientist,8,17.68,AWS AI,0
Mumbai,IT,AI Researcher,0,13.37,Azure AI,1
Bangalore,E-commerce,ML Engineer,3,15.76,PyTorch,1
Mumbai,EdTech,Data Analyst,4,14.85,AWS AI,1
Chennai,EdTech,AI Researcher,0,13.82,AWS AI,1
Mumbai,E-commerce,AI Engineer,3,11.35,AWS AI,1
Chennai,IT,AI Engineer,7,20.82,TensorFlow,1
Chennai,Finance,ML Engineer,7,23.87,AWS AI,1
Hyderabad,IT,Data Scientist,3,9.48,Scikit-learn,0
Pune,Healthcare,AI Researcher,9,29.53,PyTorch,0
Pune,Finance,ML Engineer,1,10.02,Scikit-learn,0
Mumbai,Manufacturing,ML Engineer,7,26.78,ChatGPT,1
Delhi,Manufacturing,Data Analyst,11,25.79,Azure AI,1
Pune,Healthcare,ML Engineer,8,24.98,ChatGPT,1
Pune,EdTech,AI Engineer,11,30.16,Azure AI,0
Delhi,Manufacturing,Data Analyst,9,24.64,PyTorch,1
Bangalore,IT,Data Scientist,0,3.0,ChatGPT,1
Mumbai,Manufacturing,AI Researcher,1,12.47,AWS AI,1
Hyderabad,EdTech,ML Engineer,2,13.54,ChatGPT,1
Bangalore,EdTech,AI Engineer,6,16.03,Azure AI,1
Chennai,Finance,Data Analyst,0,5.81,TensorFlow,1
Hyderabad,EdTech,Data Scientist,9,23.17,Scikit-learn,1
Pune,E-commerce,AI Researcher,7,22.11,Scikit-learn,1
Mumbai,Healthcare,AI Engineer,10,25.83,Azure AI,1
Chennai,Healthcare,ML Engineer,9,29.75,Scikit-learn,1
Hyderabad,Healthcare,ML Engineer,7,21.59,Scikit-learn,0
Pune,Finance,AI Researcher,3,16.09,ChatGPT,1
Bangalore,Manufacturing,Data Scientist,9,26.19,PyTorch,1
Delhi,Manufacturing,AI Researcher,4,16.98,Scikit-learn,0
Pune,IT,Data Scientist,8,21.11,Azure AI,1
Pune,Finance,Data Scientist,3,13.19,ChatGPT,0
Mumbai,IT,Data Scientist,3,7.89,PyTorch,0
Chennai,IT,AI Engineer,10,19.43,Scikit-learn,1
Chennai,Finance,Data Scientist,7,21.16,Scikit-learn,0
Hyderabad,IT,Data Scientist,0,3.0,ChatGPT,1
Bangalore,EdTech,Data Analyst,5,12.32,AWS AI,1
Chennai,Manufacturing,AI Engineer,10,25.3,Azure AI,1
Hyderabad,IT,AI Engineer,7,21.78,TensorFlow,1
Bangalore,EdTech,Data Analyst,2,3.68,PyTorch,1
Hyderabad,Finance,AI Engineer,9,20.78,Azure AI,1
Mumbai,EdTech,AI Engineer,8,24.5,AWS AI,1
Delhi,Healthcare,AI Engineer,4,13.29,AWS AI,1
Hyderabad,EdTech,Data Analyst,10,26.96,AWS AI,0
Hyderabad,Finance,ML Engineer,6,20.65,TensorFlow,1
Mumbai,Finance,Data Analyst,4,10.5,TensorFlow,1
Chennai,IT,Data Analyst,6,16.05,TensorFlow,1
Delhi,Manufacturing,Data Analyst,2,11.03,Scikit-learn,0
Bangalore,Finance,AI Engineer,9,23.23,PyTorch,1
Pune,IT,ML Engineer,8,24.3,ChatGPT,0
Chennai,Finance,Data Analyst,10,27.21,Azure AI,1
Bangalore,EdTech,ML Engineer,8,26.3,ChatGPT,1
Bangalore,EdTech,AI Researcher,11,35.24,TensorFlow,1
Hyderabad,Manufacturing,AI Researcher,9,31.14,TensorFlow,1
Pune,EdTech,Data Analyst,1,7.29,PyTorch,0
Mumbai,Healthcare,Data Scientist,3,10.55,AWS AI,1
Hyderabad,Healthcare,AI Researcher,7,20.49,PyTorch,1
Pune,Healthcare,AI Engineer,0,4.75,TensorFlow,1
Bangalore,IT,AI Researcher,1,9.46,Azure AI,1
Mumbai,Healthcare,Data Scientist,9,20.34,TensorFlow,1
Mumbai,EdTech,AI Engineer,11,28.24,Scikit-learn,1
Bangalore,Finance,AI Researcher,0,6.86,ChatGPT,1
Pune,Manufacturing,AI Engineer,11,28.63,AWS AI,1
Hyderabad,Healthcare,Data Scientist,1,8.24,TensorFlow,0
Chennai,EdTech,ML Engineer,9,23.5,ChatGPT,0
Mumbai,EdTech,ML Engineer,7,27.21,TensorFlow,1
Bangalore,Manufacturing,AI Engineer,3,12.88,PyTorch,1
Pune,Healthcare,AI Engineer,1,5.97,TensorFlow,1
Pune,Finance,Data Scientist,11,31.08,ChatGPT,1
Chennai,Finance,Data Analyst,9,23.97,PyTorch,1
Mumbai,Healthcare,AI Researcher,10,31.43,AWS AI,1
Chennai,EdTech,AI Researcher,0,10.09,Scikit-learn,1
Pune,IT,Data Analyst,7,15.64,AWS AI,0
Hyderabad,Finance,ML Engineer,7,18.48,AWS AI,1
Bangalore,IT,AI Researcher,0,9.93,Scikit-learn,0
Pune,EdTech,AI Researcher,9,28.47,PyTorch,1
Hyderabad,EdTech,AI Engineer,6,16.81,AWS AI,1
Delhi,IT,AI Engineer,9,23.11,TensorFlow,0
Chennai,IT,AI Engineer,9,23.94,ChatGPT,1
Pune,Healthcare,Data Scientist,9,24.02,TensorFlow,1
Chennai,EdTech,Data Scientist,1,7.69,Azure AI,1
Chennai,EdTech,Data Analyst,8,20.25,TensorFlow,1
Mumbai,IT,AI Engineer,7,18.64,TensorFlow,1
Pune,Healthcare,Data Scientist,8,17.48,PyTorch,0
Chennai,EdTech,AI Engineer,11,26.93,Scikit-learn,0
Pune,IT,AI Researcher,11,35.59,TensorFlow,1
Mumbai,EdTech,ML Engineer,2,15.73,Azure AI,1
Hyderabad,IT,AI Engineer,7,20.64,PyTorch,1
Delhi,E-commerce,AI Researcher,8,27.0,PyTorch,1
Mumbai,EdTech,AI Researcher,6,23.71,TensorFlow,1
Chennai,Finance,ML Engineer,6,19.26,Scikit-learn,1
Pune,Manufacturing,ML Engineer,11,28.33,PyTorch,1
Mumbai,Manufacturing,ML Engineer,0,9.29,PyTorch,1
Delhi,E-commerce,Data Scientist,9,27.33,Scikit-learn,0
Hyderabad,Finance,AI Researcher,4,16.89,Scikit-learn,1
Chennai,IT,Data Analyst,0,5.98,TensorFlow,1
Hyderabad,EdTech,ML Engineer,5,22.04,Scikit-learn,0
Chennai,Healthcare,Data Scientist,10,23.52,PyTorch,1
Pune,EdTech,ML Engineer,9,23.1,PyTorch,0
Chennai,Healthcare,Data Analyst,1,3.0,PyTorch,1
Pune,Healthcare,Data Analyst,11,27.86,Scikit-learn,1
Mumbai,Healthcare,AI Researcher,8,26.49,ChatGPT,1
Hyderabad,Healthcare,ML Engineer,5,15.5,Scikit-learn,0
Pune,Healthcare,AI Researcher,0,12.89,AWS AI,1
Hyderabad,Finance,AI Engineer,6,15.7,PyTorch,0
Chennai,E-commerce,Data Scientist,8,22.87,Scikit-learn,1
Pune,EdTech,Data Scientist,5,15.89,TensorFlow,1
Bangalore,EdTech,AI Researcher,10,28.01,TensorFlow,1
Chennai,IT,AI Engineer,1,8.57,PyTorch,1
Bangalore,E-commerce,Data Scientist,7,19.85,ChatGPT,1
Delhi,E-commerce,Data Analyst,5,16.05,ChatGPT,1
Pune,Manufacturing,Data Scientist,0,8.56,ChatGPT,1
Delhi,E-commerce,ML Engineer,9,27.84,ChatGPT,1
Chennai,IT,AI Engineer,2,10.11,AWS AI,1
Mumbai,Healthcare,ML Engineer,8,26.53,Scikit-learn,1
Chennai,Finance,ML Engineer,5,19.12,PyTorch,0
Hyderabad,E-commerce,ML Engineer,11,33.37,Azure AI,1
Mumbai,Manufacturing,ML Engineer,2,11.08,Scikit-learn,1
Delhi,Manufacturing,AI Researcher,6,21.95,TensorFlow,1
Mumbai,Healthcare,Data Scientist,4,17.28,Scikit-learn,0
Chennai,EdTech,AI Researcher,2,13.49,TensorFlow,1
Hyderabad,E-commerce,AI Researcher,3,12.66,Scikit-learn,1
Hyderabad,Finance,ML Engineer,11,30.45,Azure AI,1
Delhi,E-commerce,ML Engineer,3,16.09,AWS AI,1
Mumbai,EdTech,AI Engineer,2,7.22,TensorFlow,1
Delhi,E-commerce,AI Engineer,0,3.0,AWS AI,0
Pune,IT,ML Engineer,11,30.65,AWS AI,0
Hyderabad,Finance,Data Scientist,7,18.42,AWS AI,1
Pune,IT,Data Scientist,8,23.09,Scikit-learn,0
Delhi,Healthcare,AI Engineer,6,16.41,AWS AI,0
Bangalore,EdTech,AI Researcher,9,29.99,Scikit-learn,1
Bangalore,Manufacturing,Data Scientist,11,26.01,Scikit-learn,1
Bangalore,IT,AI Researcher,10,31.01,Scikit-learn,1
Mumbai,EdTech,Data Analyst,5,10.69,Scikit-learn,0
Pune,IT,Data Scientist,1,8.46,PyTorch,1
Pune,IT,AI Engineer,4,13.1,ChatGPT,1
Mumbai,Healthcare,ML Engineer,11,29.04,AWS AI,1
Bangalore,Healthcare,AI Researcher,1,7.09,TensorFlow,1
Pune,IT,Data Analyst,5,13.53,Azure AI,1
Bangalore,Finance,ML Engineer,4,17.01,PyTorch,1
Bangalore,E-commerce,ML Engineer,1,11.93,PyTorch,1
Bangalore,Healthcare,Data Scientist,3,11.62,AWS AI,1
Delhi,Manufacturing,Data Scientist,4,13.61,ChatGPT,1
Bangalore,EdTech,AI Researcher,8,24.49,Azure AI,0
Hyderabad,Manufacturing,Data Analyst,10,27.45,PyTorch,1
Bangalore,Healthcare,AI Researcher,1,13.39,Azure AI,1
Delhi,EdTech,Data Scientist,7,21.22,PyTorch,1
Bangalore,IT,Data Scientist,8,18.08,PyTorch,0
Delhi,Finance,AI Engineer,9,26.28,AWS AI,1
Delhi,Manufacturing,ML Engineer,4,18.02,Scikit-learn,0
Pune,E-commerce,Data Scientist,9,20.22,Scikit-learn,1
Hyderabad,Healthcare,ML Engineer,6,16.71,PyTorch,0
Mumbai,Healthcare,AI Engineer,6,16.49,Scikit-learn,1
Delhi,Manufacturing,AI Engineer,5,15.78,Azure AI,1
Hyderabad,Healthcare,Data Analyst,4,14.04,TensorFlow,1
Bangalore,EdTech,ML Engineer,1,10.41,Scikit-learn,1
Bangalore,Finance,Data Analyst,10,25.21,Azure AI,0
Hyderabad,Manufacturing,Data Analyst,3,8.33,AWS AI,1
Chennai,Manufacturing,AI Researcher,7,24.94,Azure AI,1
Bangalore,Finance,ML Engineer,8,24.28,TensorFlow,1
Delhi,Healthcare,Data Scientist,9,24.49,Scikit-learn,1
Delhi,Healthcare,Data Scientist,9,21.6,Scikit-learn,0
Hyderabad,Finance,ML Engineer,6,19.11,ChatGPT,0
Mumbai,E-commerce,AI Researcher,0,8.83,PyTorch,0
Chennai,EdTech,Data Scientist,8,19.39,ChatGPT,1
Chennai,Healthcare,Data Analyst,6,20.28,Scikit-learn,1
Bangalore,E-commerce,AI Researcher,9,25.8,Azure AI,1
Pune,E-commerce,Data Analyst,1,5.58,PyTorch,1
Delhi,Healthcare,ML Engineer,7,19.81,AWS AI,1
Delhi,Manufacturing,Data Analyst,6,18.47,ChatGPT,1
Hyderabad,EdTech,Data Analyst,6,17.19,Azure AI,1
Chennai,Manufacturing,ML Engineer,8,22.64,ChatGPT,1
Hyderabad,Healthcare,Data Scientist,11,22.33,AWS AI,1
Bangalore,IT,Data Analyst,7,18.0,AWS AI,1
Pune,E-commerce,ML Engineer,5,18.85,AWS AI,0
Delhi,EdTech,Data Scientist,3,11.67,TensorFlow,1
Mumbai,E-commerce,AI Engineer,1,7.12,AWS AI,1
Chennai,Healthcare,ML Engineer,3,10.78,AWS AI,1
Bangalore,Finance,Data Analyst,5,14.23,AWS AI,1
Chennai,Manufacturing,ML Engineer,2,12.93,AWS AI,0
Mumbai,Finance,Data Analyst,6,15.91,PyTorch,1
Delhi,Finance,Data Analyst,1,8.96,ChatGPT,1
Chennai,Manufacturing,Data Scientist,5,14.95,AWS AI,0
Bangalore,Manufacturing,AI Engineer,2,10.64,ChatGPT,1
Hyderabad,EdTech,AI Researcher,1,12.11,AWS AI,1
Mumbai,Manufacturing,AI Researcher,11,33.06,TensorFlow,1
Bangalore,Finance,AI Engineer,2,6.34,AWS AI,1
Mumbai,IT,Data Scientist,7,19.56,PyTorch,0
Bangalore,E-commerce,AI Engineer,11,28.1,Scikit-learn,1
Hyderabad,E-commerce,AI Researcher,0,8.16,Azure AI,1
Mumbai,E-commerce,ML Engineer,11,27.27,AWS AI,1
Chennai,EdTech,AI Researcher,4,17.55,AWS AI,0
Pune,IT,AI Researcher,10,28.91,Azure AI,0
Pune,EdTech,AI Researcher,1,12.78,TensorFlow,0
Pune,E-commerce,Data Scientist,3,11.24,Azure AI,1
Hyderabad,E-commerce,ML Engineer,3,12.05,TensorFlow,1
Pune,Finance,AI Researcher,8,24.25,Azure AI,0
Bangalore,IT,Data Scientist,0,3.0,TensorFlow,1
Pune,E-commerce,ML Engineer,0,7.82,PyTorch,1
Chennai,IT,AI Engineer,7,19.31,ChatGPT,0
Bangalore,EdTech,AI Researcher,7,24.92,Azure AI,0
Bangalore,EdTech,AI Engineer,6,15.64,PyTorch,0
Mumbai,E-commerce,Data Scientist,7,16.31,PyTorch,1
Mumbai,Finance,AI Engineer,11,25.06,Azure AI,1
Delhi,Finance,ML Engineer,5,19.21,PyTorch,0
Bangalore,IT,Data Scientist,3,13.62,TensorFlow,1
Delhi,Manufacturing,ML Engineer,1,8.71,Azure AI,1
Mumbai,Finance,ML Engineer,11,31.86,ChatGPT,1
Hyderabad,Finance,Data Scientist,6,14.91,ChatGPT,0
Pune,E-commerce,Data Analyst,3,7.07,PyTorch,1
Bangalore,E-commerce,AI Researcher,7,25.72,ChatGPT,1
Chennai,EdTech,AI Researcher,4,16.83,AWS AI,1
Chennai,Healthcare,Data Analyst,7,18.71,ChatGPT,1
Pune,EdTech,ML Engineer,1,9.27,Scikit-learn,1
Pune,IT,Data Analyst,2,9.62,PyTorch,0
Chennai,E-commerce,AI Researcher,2,17.4,ChatGPT,1
Hyderabad,EdTech,ML Engineer,7,24.65,PyTorch,1
Delhi,Finance,AI Engineer,7,19.49,PyTorch,1
Pune,IT,AI Engineer,4,11.97,Scikit-learn,1
Delhi,Manufacturing,ML Engineer,9,23.78,Scikit-learn,1
Mumbai,Manufacturing,ML Engineer,8,25.55,PyTorch,1
Hyderabad,E-commerce,AI Researcher,3,18.24,TensorFlow,1
Pune,Finance,ML Engineer,2,9.16,AWS AI,0
Pune,E-commerce,Data Scientist,11,23.48,ChatGPT,1
Delhi,E-commerce,AI Researcher,3,14.87,Scikit-learn,0
Chennai,Finance,ML Engineer,7,22.37,PyTorch,0
Chennai,EdTech,AI Engineer,11,25.36,Scikit-learn,1
Hyderabad,Healthcare,AI Researcher,5,19.99,Azure AI,0
Hyderabad,IT,Data Scientist,6,15.31,PyTorch,1
Hyderabad,Manufacturing,Data Scientist,10,24.73,Azure AI,0
Chennai,Manufacturing,Data Analyst,5,12.34,Scikit-learn,1
Pune,IT,ML Engineer,8,23.97,Scikit-learn,1
Bangalore,Healthcare,AI Engineer,1,5.94,Azure AI,1
Mumbai,Manufacturing,ML Engineer,2,13.54,TensorFlow,1
Pune,E-commerce,Data Analyst,4,12.62,AWS AI,1
Mumbai,IT,ML Engineer,6,22.78,ChatGPT,0
Hyderabad,IT,Data Analyst,8,20.45,Scikit-learn,0
Delhi,Manufacturing,Data Analyst,7,17.0,AWS AI,0
Bangalore,EdTech,Data Analyst,2,6.86,AWS AI,0
Hyderabad,Finance,AI Engineer,3,7.13,TensorFlow,1
Chennai,Finance,Data Analyst,4,15.14,PyTorch,1
Delhi,Finance,AI Researcher,6,20.54,Scikit-learn,1
Bangalore,Healthcare,AI Researcher,8,23.78,PyTorch,1
Pune,IT,Data Scientist,11,28.13,ChatGPT,0
Bangalore,IT,ML Engineer,3,14.53,Azure AI,0
Mumbai,IT,ML Engineer,11,28.82,AWS AI,1
Delhi,Manufacturing,ML Engineer,1,7.47,ChatGPT,1
Pune,Manufacturing,AI Engineer,1,6.88,Scikit-learn,0
Mumbai,IT,Data Analyst,7,19.14,Azure AI,0
Chennai,EdTech,Data Analyst,3,10.96,AWS AI,0
Delhi,IT,AI Researcher,10,30.63,TensorFlow,0
Bangalore,Finance,Data Analyst,2,8.94,Scikit-learn,1
Mumbai,Healthcare,Data Analyst,6,12.59,Azure AI,1
Delhi,E-commerce,Data Analyst,7,16.93,Scikit-learn,1
Chennai,Finance,AI Researcher,4,20.1,TensorFlow,1
Delhi,Healthcare,Data Analyst,5,12.24,Azure AI,1
Pune,E-commerce,AI Engineer,1,5.91,PyTorch,1
Bangalore,E-commerce,AI Engineer,5,13.97,PyTorch,1
Chennai,Finance,AI Researcher,0,7.88,PyTorch,0
Bangalore,Healthcare,AI Researcher,10,30.86,ChatGPT,0
Mumbai,EdTech,ML Engineer,3,12.95,Scikit-learn,1
Chennai,Healthcare,ML Engineer,3,11.49,Scikit-learn,1
Pune,Finance,ML Engineer,10,27.67,AWS AI,1
Pune,E-commerce,ML Engineer,11,32.61,TensorFlow,0
Delhi,Finance,AI Engineer,4,12.22,PyTorch,1
Pune,E-commerce,Data Scientist,5,13.16,PyTorch,1
Hyderabad,Manufacturing,AI Engineer,10,24.36,ChatGPT,1
Hyderabad,Finance,AI Engineer,0,3.65,ChatGPT,0
Hyderabad,Manufacturing,AI Engineer,4,11.99,Scikit-learn,1
Mumbai,E-commerce,Data Scientist,6,19.89,Azure AI,1
Chennai,Manufacturing,Data Scientist,2,8.24,AWS AI,1
Mumbai,Manufacturing,AI Engineer,7,16.72,AWS AI,1
Chennai,Manufacturing,Data Scientist,0,4.19,ChatGPT,0
Delhi,Healthcare,AI Engineer,2,8.87,ChatGPT,1
Hyderabad,Healthcare,Data Scientist,6,18.78,Scikit-learn,0
Pune,E-commerce,AI Researcher,5,18.95,ChatGPT,0
Mumbai,IT,Data Analyst,0,6.6,PyTorch,1
Mumbai,E-commerce,Data Analyst,8,17.77,Scikit-learn,1
Pune,Manufacturing,AI Researcher,8,27.8,ChatGPT,0
Mumbai,Manufacturing,AI Engineer,11,27.43,TensorFlow,1
Hyderabad,IT,AI Researcher,4,16.38,Azure AI,0
Mumbai,IT,Data Analyst,8,19.57,TensorFlow,1
Chennai,E-commerce,AI Researcher,0,8.96,AWS AI,1
Delhi,E-commerce,AI Engineer,8,21.48,Azure AI,0
Mumbai,E-commerce,AI Engineer,4,15.86,Scikit-learn,0
Pune,Healthcare,Data Analyst,5,14.46,AWS AI,0
Chennai,Manufacturing,ML Engineer,7,22.71,AWS AI,0
Hyderabad,Manufacturing,AI Researcher,0,9.96,TensorFlow,1
Pune,IT,Data Analyst,2,4.0,PyTorch,0
Hyderabad,IT,AI Researcher,2,10.93,Azure AI,1
Pune,EdTech,Data Scientist,0,4.38,ChatGPT,0
Chennai,Manufacturing,AI Engineer,9,21.5,ChatGPT,1
Mumbai,Healthcare,Data Scientist,4,11.23,ChatGPT,0
Mumbai,EdTech,AI Engineer,10,25.54,AWS AI,0
Pune,EdTech,Data Analyst,7,20.16,Azure AI,1
Delhi,E-commerce,AI Researcher,0,10.7,TensorFlow,1
Hyderabad,Manufacturing,AI Engineer,8,20.25,ChatGPT,1
Mumbai,E-commerce,AI Researcher,1,13.15,Scikit-learn,1
Delhi,EdTech,ML Engineer,11,32.27,ChatGPT,1
Pune,Finance,AI Engineer,2,7.38,AWS AI,1
Hyderabad,Manufacturing,Data Scientist,5,16.91,PyTorch,1
Chennai,Finance,AI Engineer,5,15.57,ChatGPT,1
Delhi,EdTech,AI Engineer,11,25.33,Azure AI,1
Chennai,E-commerce,Data Scientist,8,20.79,Azure AI,1
Pune,Manufacturing,Data Analyst,1,4.61,TensorFlow,1
Mumbai,Healthcare,ML Engineer,11,31.84,Scikit-learn,1
Bangalore,Manufacturing,AI Engineer,8,17.33,Scikit-learn,1
Hyderabad,EdTech,ML Engineer,7,24.34,Scikit-learn,0
Delhi,E-commerce,Data Scientist,0,4.69,TensorFlow,1
Chennai,Healthcare,AI Engineer,10,25.86,ChatGPT,0
Chennai,IT,ML Engineer,4,16.54,Scikit-learn,0
Chennai,Healthcare,AI Researcher,1,14.32,PyTorch,1
Delhi,Manufacturing,ML Engineer,3,11.8,PyTorch,0
Pune,Finance,ML Engineer,4,15.28,Azure AI,1
Delhi,E-commerce,AI Researcher,11,26.75,ChatGPT,1
Bangalore,EdTech,Data Analyst,10,22.56,AWS AI,1
Chennai,EdTech,Data Scientist,4,16.47,PyTorch,1
Delhi,EdTech,ML Engineer,2,16.46,PyTorch,0
Hyderabad,Healthcare,Data Analyst,4,14.27,ChatGPT,1
Mumbai,EdTech,AI Researcher,7,22.98,TensorFlow,1
Delhi,Healthcare,AI Researcher,2,16.2,Azure AI,1
