city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
Townsville,Finance,ML Engineer,3,10.67,TensorFlow,0
Newcastle,E-commerce,AI Researcher,0,7.46,Azure AI,1
Townsville,E-commerce,AI Researcher,3,16.67,ChatGPT,0
Wollongong,Finance,AI Engineer,9,23.23,PyTorch,1
Melbourne,EdTech,ML Engineer,9,23.3,PyTorch,1
Sydney,E-commerce,AI Researcher,3,13.56,AWS AI,1
Wollongong,Manufacturing,ML Engineer,2,14.74,AWS AI,0
Sydney,IT,Data Scientist,2,8.18,AWS AI,0
Cairns,IT,Data Scientist,0,5.94,Azure AI,1
Brisbane,EdTech,AI Researcher,5,17.75,PyTorch,1
Cairns,IT,ML Engineer,4,12.08,ChatGPT,0
Perth,E-commerce,Data Scientist,9,19.4,AWS AI,1
Wollongong,EdTech,Data Analyst,5,17.21,ChatGPT,1
Sydney,Finance,Data Scientist,10,22.12,TensorFlow,1
Gold Coast,EdTech,ML Engineer,6,16.22,AWS AI,1
Wollongong,Manufacturing,Data Analyst,11,24.2,Azure AI,1
Adelaide,Healthcare,AI Researcher,11,29.58,AWS AI,0
Sydney,Manufacturing,Data Scientist,2,4.81,Scikit-learn,1
Perth,Finance,ML Engineer,4,11.34,AWS AI,1
Cairns,Healthcare,Data Scientist,1,5.26,ChatGPT,1
Townsville,Finance,AI Researcher,0,8.79,AWS AI,1
Brisbane,EdTech,AI Engineer,11,25.45,PyTorch,1
Sydney,Manufacturing,Data Scientist,7,15.23,TensorFlow,1
Newcastle,E-commerce,AI Engineer,2,4.95,PyTorch,1
Wollongong,Finance,Data Analyst,3,11.4,ChatGPT,1
Cairns,IT,Data Scientist,2,4.85,ChatGPT,1
Melbourne,EdTech,AI Engineer,4,12.13,TensorFlow,1
Adelaide,IT,AI Engineer,5,14.4,PyTorch,1
Sydney,E-commerce,AI Researcher,8,26.41,ChatGPT,1
Perth,Finance,Data Analyst,10,24.04,Azure AI,1
Townsville,Manufacturing,ML Engineer,6,20.06,TensorFlow,1
Townsville,EdTech,ML Engineer,5,17.36,Scikit-learn,1
Perth,Finance,AI Researcher,0,10.71,Scikit-learn,0
Townsville,Finance,Data Analyst,6,14.66,TensorFlow,1
Adelaide,Healthcare,Data Analyst,9,21.5,PyTorch,1
Gold Coast,Finance,Data Scientist,5,13.99,Azure AI,1
Townsville,Finance,ML Engineer,7,18.55,Azure AI,0
Sydney,EdTech,ML Engineer,2,11.4,Azure AI,1
Gold Coast,Healthcare,Data Scientist,2,10.7,PyTorch,1
Newcastle,Healthcare,Data Scientist,7,17.08,ChatGPT,1
Gold Coast,E-commerce,AI Engineer,9,18.04,AWS AI,1
Gold Coast,E-commerce,AI Researcher,0,11.65,AWS AI,1
Townsville,Finance,AI Researcher,8,22.9,PyTorch,1
Melbourne,EdTech,Data Scientist,8,20.11,TensorFlow,1
Newcastle,Manufacturing,AI Researcher,9,24.04,Scikit-learn,0
Newcastle,Finance,ML Engineer,9,25.9,Azure AI,1
Perth,Healthcare,Data Analyst,4,10.15,TensorFlow,0
Cairns,Manufacturing,Data Analyst,3,13.56,ChatGPT,1
Sydney,E-commerce,ML Engineer,0,3.0,Azure AI,1
Perth,Manufacturing,ML Engineer,11,26.33,ChatGPT,0
Perth,IT,AI Researcher,6,20.12,TensorFlow,0
Cairns,Manufacturing,AI Researcher,0,9.71,Scikit-learn,1
Cairns,E-commerce,Data Analyst,10,22.41,ChatGPT,1
Brisbane,Finance,ML Engineer,1,6.37,ChatGPT,0
Perth,Manufacturing,Data Analyst,8,18.29,Azure AI,0
Newcastle,Manufacturing,Data Scientist,2,9.65,ChatGPT,1
Cairns,Manufacturing,Data Scientist,11,25.17,Scikit-learn,1
Wollongong,EdTech,Data Scientist,9,20.72,Azure AI,1
Newcastle,Finance,ML Engineer,10,29.43,ChatGPT,1
Gold Coast,E-commerce,ML Engineer,0,3.69,AWS AI,1
Brisbane,E-commerce,Data Scientist,0,4.95,Scikit-learn,1
Sydney,Healthcare,Data Analyst,5,12.42,AWS AI,0
Townsville,Healthcare,AI Researcher,6,21.01,ChatGPT,1
Cairns,E-commerce,AI Researcher,7,21.97,AWS AI,0
Newcastle,EdTech,AI Engineer,5,16.71,Azure AI,0
Townsville,EdTech,AI Engineer,7,21.46,Azure AI,0
Sydney,Finance,Data Scientist,0,3.0,PyTorch,0
Melbourne,Healthcare,Data Analyst,9,20.63,PyTorch,1
Adelaide,Manufacturing,Data Analyst,11,24.67,ChatGPT,1
Newcastle,EdTech,Data Analyst,2,9.34,PyTorch,1
Gold Coast,IT,AI Researcher,11,31.28,Azure AI,1
Adelaide,E-commerce,AI Researcher,0,10.7,Azure AI,1
Adelaide,Healthcare,AI Engineer,9,16.15,ChatGPT,1
Wollongong,EdTech,ML Engineer,3,9.03,PyTorch,1
Wollongong,E-commerce,AI Researcher,5,17.16,ChatGPT,0
Newcastle,EdTech,AI Engineer,4,8.31,Scikit-learn,0
Cairns,EdTech,Data Analyst,10,21.75,ChatGPT,1
Brisbane,EdTech,Data Scientist,2,7.92,PyTorch,1
Sydney,Manufacturing,Data Analyst,8,21.82,Azure AI,0
Wollongong,IT,Data Scientist,10,22.2,AWS AI,1
Townsville,E-commerce,ML Engineer,6,18.87,AWS AI,1
Adelaide,E-commerce,ML Engineer,8,21.32,Azure AI,1
Cairns,Manufacturing,ML Engineer,2,11.06,Azure AI,0
Sydney,E-commerce,ML Engineer,9,25.9,TensorFlow,0
Gold Coast,Finance,Data Analyst,5,12.16,TensorFlow,1
Sydney,IT,AI Researcher,5,18.87,Scikit-learn,1
Sydney,Manufacturing,Data Analyst,11,27.66,TensorFlow,1
Melbourne,EdTech,AI Researcher,0,6.26,Scikit-learn,1
Wollongong,Healthcare,AI Engineer,6,17.83,ChatGPT,1
Perth,EdTech,Data Scientist,3,12.67,Scikit-learn,0
Wollongong,Healthcare,AI Researcher,3,15.25,ChatGPT,1
Adelaide,Healthcare,Data Analyst,5,8.64,Azure AI,1
Sydney,Finance,AI Researcher,11,29.48,Azure AI,0
Gold Coast,EdTech,ML Engineer,11,29.98,PyTorch,1
Gold Coast,E-commerce,Data Analyst,6,17.87,TensorFlow,1
Sydney,EdTech,AI Engineer,9,19.69,Azure AI,0
Townsville,E-commerce,AI Engineer,7,13.67,Scikit-learn,0
Perth,Finance,AI Engineer,1,7.76,AWS AI,0
Sydney,Healthcare,ML Engineer,3,11.63,Azure AI,1
Townsville,IT,AI Engineer,6,17.08,PyTorch,0
Townsville,IT,ML Engineer,9,25.58,TensorFlow,0
Wollongong,IT,ML Engineer,11,28.49,TensorFlow,1
Melbourne,Manufacturing,AI Engineer,5,13.65,Scikit-learn,1
Perth,Healthcare,ML Engineer,1,6.94,ChatGPT,1
Perth,EdTech,AI Researcher,2,15.53,TensorFlow,1
Newcastle,E-commerce,AI Researcher,4,17.46,TensorFlow,1
Melbourne,IT,AI Engineer,6,15.26,ChatGPT,1
Perth,Healthcare,AI Researcher,6,19.43,Scikit-learn,0
Brisbane,Healthcare,Data Scientist,11,27.0,ChatGPT,1
Townsville,Finance,Data Analyst,0,3.51,PyTorch,1
Adelaide,Healthcare,AI Researcher,3,16.84,ChatGPT,0
Townsville,Healthcare,AI Engineer,5,13.6,Scikit-learn,0
Townsville,E-commerce,AI Researcher,7,26.17,AWS AI,0
Perth,E-commerce,ML Engineer,8,24.77,Azure AI,1
Newcastle,EdTech,AI Engineer,8,22.0,Azure AI,1
Wollongong,Healthcare,ML Engineer,6,21.33,Azure AI,1
Wollongong,IT,AI Engineer,11,25.59,Scikit-learn,1
Brisbane,EdTech,AI Researcher,9,25.09,TensorFlow,0
Adelaide,Finance,AI Researcher,1,9.31,TensorFlow,0
Newcastle,E-commerce,AI Researcher,0,8.66,Scikit-learn,1
Wollongong,Healthcare,ML Engineer,9,24.49,AWS AI,1
Brisbane,EdTech,AI Researcher,4,17.77,ChatGPT,1
Melbourne,Healthcare,Data Analyst,7,20.61,TensorFlow,1
Gold Coast,Healthcare,Data Analyst,3,10.07,ChatGPT,0
Townsville,Healthcare,Data Analyst,10,22.97,AWS AI,1
Cairns,Manufacturing,Data Analyst,0,3.0,ChatGPT,0
Melbourne,Healthcare,Data Analyst,1,6.32,Scikit-learn,0
Perth,Healthcare,Data Analyst,4,10.28,ChatGPT,1
Newcastle,EdTech,Data Analyst,1,6.5,PyTorch,0
Brisbane,E-commerce,AI Engineer,0,4.58,AWS AI,1
Adelaide,Manufacturing,AI Engineer,11,23.18,Azure AI,1
Perth,IT,AI Engineer,11,27.81,Azure AI,1
Townsville,E-commerce,Data Scientist,1,6.33,PyTorch,1
Adelaide,Healthcare,AI Researcher,2,13.27,AWS AI,1
Melbourne,E-commerce,Data Analyst,6,16.04,PyTorch,0
Adelaide,Healthcare,ML Engineer,4,11.84,ChatGPT,1
Sydney,Healthcare,AI Engineer,11,25.91,Scikit-learn,0
Townsville,IT,AI Researcher,2,9.32,AWS AI,1
Sydney,Finance,ML Engineer,2,11.58,PyTorch,0
Gold Coast,Healthcare,Data Scientist,11,22.88,PyTorch,1
Townsville,EdTech,Data Scientist,1,3.0,TensorFlow,0
Cairns,Healthcare,Data Analyst,4,8.89,AWS AI,1
Sydney,Finance,ML Engineer,1,10.17,PyTorch,0
Newcastle,Manufacturing,Data Scientist,8,23.78,TensorFlow,1
Melbourne,Finance,ML Engineer,5,17.29,Scikit-learn,1
Cairns,Finance,AI Engineer,3,12.15,PyTorch,0
Newcastle,IT,Data Analyst,11,25.74,Scikit-learn,1
Adelaide,Healthcare,AI Engineer,2,4.63,Azure AI,1
Newcastle,EdTech,AI Engineer,1,3.82,ChatGPT,1
Sydney,EdTech,Data Scientist,1,6.15,Azure AI,0
Townsville,Finance,AI Researcher,5,15.82,TensorFlow,1
Sydney,EdTech,AI Engineer,5,11.31,PyTorch,1
Perth,E-commerce,ML Engineer,8,21.87,Azure AI,1
Adelaide,Healthcare,ML Engineer,8,23.54,Scikit-learn,1
Wollongong,E-commerce,AI Engineer,10,23.92,AWS AI,1
Brisbane,IT,AI Researcher,9,26.44,PyTorch,0
Wollongong,Finance,AI Engineer,8,16.55,TensorFlow,0
Cairns,EdTech,AI Engineer,0,3.0,ChatGPT,0
Sydney,Finance,AI Researcher,5,17.72,PyTorch,0
Newcastle,E-commerce,AI Researcher,8,20.37,AWS AI,0
Sydney,E-commerce,Data Analyst,0,4.06,Scikit-learn,0
Cairns,Healthcare,AI Engineer,5,14.13,AWS AI,0
Sydney,E-commerce,Data Scientist,9,22.68,AWS AI,0
Brisbane,Manufacturing,Data Analyst,9,20.02,TensorFlow,1
Adelaide,EdTech,AI Researcher,6,19.41,ChatGPT,0
Townsville,EdTech,Data Analyst,8,21.65,ChatGPT,0
Adelaide,Manufacturing,ML Engineer,0,9.79,Scikit-learn,1
Gold Coast,Healthcare,Data Scientist,10,27.42,Scikit-learn,0
Brisbane,Finance,AI Researcher,4,13.16,ChatGPT,1
Townsville,Manufacturing,AI Researcher,5,17.07,PyTorch,1
Newcastle,Manufacturing,Data Scientist,7,15.34,Azure AI,1
Brisbane,E-commerce,Data Analyst,8,18.18,PyTorch,1
Cairns,Healthcare,ML Engineer,7,22.27,AWS AI,1
Newcastle,Finance,AI Researcher,10,28.81,PyTorch,1
Perth,EdTech,Data Analyst,1,3.07,Azure AI,0
Newcastle,Finance,ML Engineer,11,26.69,Azure AI,1
Newcastle,Manufacturing,AI Researcher,7,23.78,Scikit-learn,0
Adelaide,Finance,AI Researcher,0,7.19,AWS AI,1
Perth,IT,AI Engineer,3,11.27,ChatGPT,0
Townsville,EdTech,AI Engineer,5,12.72,Scikit-learn,1
Gold Coast,Finance,ML Engineer,0,9.45,Azure AI,0
Brisbane,Healthcare,Data Scientist,10,23.32,Scikit-learn,1
Melbourne,Manufacturing,Data Scientist,0,5.01,PyTorch,1
Brisbane,E-commerce,AI Engineer,11,25.78,PyTorch,1
Gold Coast,Finance,AI Researcher,6,21.05,Scikit-learn,1
Cairns,E-commerce,Data Analyst,6,14.61,TensorFlow,0
Wollongong,EdTech,AI Researcher,8,22.51,AWS AI,1
Wollongong,Finance,AI Engineer,3,9.36,AWS AI,0
Townsville,E-commerce,Data Analyst,2,8.42,ChatGPT,1
Sydney,IT,AI Researcher,2,11.62,Azure AI,0
Sydney,IT,Data Scientist,5,15.28,AWS AI,0
Wollongong,IT,Data Analyst,3,10.0,PyTorch,0
Gold Coast,Manufacturing,AI Engineer,6,15.4,ChatGPT,1
Perth,E-commerce,Data Analyst,3,8.92,ChatGPT,1
Gold Coast,Finance,Data Scientist,0,3.0,TensorFlow,1
Perth,IT,AI Engineer,11,27.28,Scikit-learn,0
Sydney,IT,Data Scientist,0,3.0,Scikit-learn,1
Cairns,IT,Data Analyst,3,7.14,ChatGPT,1
Adelaide,Healthcare,ML Engineer,8,19.15,TensorFlow,0
Gold Coast,IT,Data Analyst,7,19.41,PyTorch,0
Brisbane,Healthcare,AI Researcher,3,19.21,AWS AI,0
Melbourne,IT,Data Scientist,5,14.58,Scikit-learn,1
Newcastle,EdTech,ML Engineer,4,14.25,ChatGPT,0
Newcastle,Healthcare,AI Engineer,5,9.39,ChatGPT,1
Melbourne,Finance,Data Scientist,11,23.9,Scikit-learn,1
Brisbane,E-commerce,Data Analyst,2,8.83,AWS AI,0
Perth,Healthcare,AI Engineer,10,25.22,AWS AI,0
Adelaide,E-commerce,AI Engineer,9,20.07,Scikit-learn,1
Adelaide,Healthcare,AI Engineer,4,7.8,Azure AI,1
Adelaide,Finance,Data Analyst,10,25.2,Scikit-learn,1
Sydney,EdTech,Data Analyst,8,20.81,ChatGPT,1
Perth,EdTech,ML Engineer,11,29.68,Azure AI,1
Melbourne,Manufacturing,Data Analyst,8,21.68,ChatGPT,0
Cairns,Healthcare,AI Engineer,1,7.37,ChatGPT,1
Cairns,E-commerce,Data Scientist,9,25.18,ChatGPT,0
Gold Coast,Healthcare,Data Scientist,5,11.49,AWS AI,1
Newcastle,E-commerce,Data Analyst,4,10.74,ChatGPT,0
Cairns,E-commerce,Data Scientist,8,20.71,AWS AI,0
Newcastle,E-commerce,AI Researcher,4,16.2,PyTorch,1
Gold Coast,IT,AI Engineer,8,20.02,TensorFlow,1
Newcastle,Finance,AI Engineer,8,21.44,AWS AI,0
Wollongong,EdTech,Data Scientist,8,16.88,TensorFlow,1
Gold Coast,Manufacturing,Data Scientist,7,16.25,TensorFlow,1
Newcastle,Finance,ML Engineer,7,21.69,Azure AI,1
Wollongong,E-commerce,AI Engineer,6,12.26,ChatGPT,1
Wollongong,Manufacturing,ML Engineer,8,24.51,PyTorch,1
Melbourne,EdTech,AI Engineer,3,10.03,ChatGPT,1
Townsville,EdTech,Data Scientist,6,13.28,TensorFlow,0
Newcastle,IT,Data Scientist,11,27.15,Azure AI,0
Sydney,Healthcare,ML Engineer,9,26.16,PyTorch,1
Newcastle,Healthcare,AI Engineer,0,3.0,ChatGPT,1
Gold Coast,Healthcare,Data Analyst,6,14.46,PyTorch,0
Adelaide,E-commerce,AI Researcher,0,8.27,Azure AI,1
Adelaide,Manufacturing,AI Engineer,7,17.59,ChatGPT,0
Brisbane,EdTech,AI Researcher,11,31.58,AWS AI,1
Melbourne,Finance,Data Scientist,8,21.96,ChatGPT,0
Adelaide,Manufacturing,Data Scientist,4,13.34,Scikit-learn,1
Adelaide,IT,ML Engineer,0,3.89,Azure AI,1
Cairns,Healthcare,Data Scientist,1,4.17,TensorFlow,0
Adelaide,Healthcare,ML Engineer,9,24.83,PyTorch,0
Adelaide,IT,AI Engineer,9,21.1,ChatGPT,1
Wollongong,Manufacturing,AI Engineer,4,9.83,PyTorch,1
Newcastle,Finance,AI Researcher,11,26.51,Scikit-learn,1
Cairns,Manufacturing,AI Engineer,6,12.15,Scikit-learn,0
Wollongong,IT,Data Analyst,11,24.86,PyTorch,1
Sydney,IT,Data Scientist,7,19.71,AWS AI,0
Newcastle,Finance,AI Engineer,0,5.21,AWS AI,1
Melbourne,Manufacturing,AI Researcher,1,10.42,PyTorch,0
Sydney,IT,AI Engineer,0,3.0,PyTorch,1
Gold Coast,IT,ML Engineer,10,29.29,Scikit-learn,0
Wollongong,Finance,ML Engineer,8,23.44,PyTorch,1
Townsville,E-commerce,Data Scientist,4,13.97,Scikit-learn,0
Gold Coast,Healthcare,Data Analyst,4,12.71,AWS AI,0
Newcastle,IT,AI Engineer,1,6.0,Scikit-learn,1
Sydney,IT,Data Scientist,11,22.8,Scikit-learn,1
Sydney,Finance,AI Engineer,7,19.05,TensorFlow,1
Gold Coast,E-commerce,Data Analyst,8,14.01,TensorFlow,1
Gold Coast,EdTech,Data Scientist,1,7.4,Azure AI,1
Cairns,IT,AI Engineer,4,11.28,AWS AI,0
Perth,IT,AI Researcher,10,25.9,AWS AI,0
Melbourne,Healthcare,ML Engineer,9,25.86,Azure AI,1
Melbourne,IT,ML Engineer,5,17.25,TensorFlow,1
Wollongong,IT,AI Researcher,4,19.04,TensorFlow,1
Newcastle,Finance,Data Analyst,6,17.97,AWS AI,1
Wollongong,Finance,AI Engineer,2,9.89,PyTorch,0
Perth,IT,Data Analyst,5,11.48,PyTorch,1
Adelaide,Manufacturing,AI Researcher,11,28.32,TensorFlow,0
Gold Coast,E-commerce,AI Engineer,7,18.02,Azure AI,0
Wollongong,Finance,AI Engineer,3,12.39,ChatGPT,1
Cairns,E-commerce,Data Analyst,3,10.84,TensorFlow,1
Melbourne,Finance,Data Analyst,2,10.0,PyTorch,1
Wollongong,Healthcare,ML Engineer,2,12.28,AWS AI,1
Brisbane,Finance,ML Engineer,5,10.87,ChatGPT,0
Cairns,E-commerce,ML Engineer,5,18.72,PyTorch,1
Perth,IT,ML Engineer,5,15.91,AWS AI,0
Townsville,Healthcare,AI Researcher,4,15.69,AWS AI,1
Sydney,E-commerce,Data Scientist,10,27.03,Azure AI,0
Adelaide,Healthcare,AI Researcher,0,12.08,AWS AI,1
Melbourne,IT,AI Researcher,2,13.52,Azure AI,1
Melbourne,Healthcare,AI Researcher,6,22.63,Scikit-learn,0
Adelaide,Manufacturing,Data Analyst,11,21.12,Azure AI,1
Gold Coast,EdTech,Data Scientist,3,9.9,Scikit-learn,1
Brisbane,Healthcare,AI Researcher,4,17.63,Azure AI,0
Cairns,EdTech,Data Analyst,10,23.98,ChatGPT,0
Cairns,EdTech,Data Scientist,3,9.12,TensorFlow,0
Townsville,Finance,Data Scientist,2,6.24,TensorFlow,1
Wollongong,E-commerce,ML Engineer,6,21.49,ChatGPT,0
Townsville,E-commerce,Data Analyst,10,22.99,PyTorch,0
Perth,EdTech,Data Scientist,2,7.24,AWS AI,0
Brisbane,IT,Data Analyst,5,16.55,Scikit-learn,1
Melbourne,Finance,Data Analyst,4,10.68,ChatGPT,1
Perth,Manufacturing,Data Scientist,11,23.07,PyTorch,0
Newcastle,IT,AI Engineer,2,6.92,AWS AI,1
Newcastle,Manufacturing,ML Engineer,4,16.39,PyTorch,1
Brisbane,EdTech,ML Engineer,9,25.96,ChatGPT,0
Adelaide,IT,Data Scientist,1,7.03,TensorFlow,1
Gold Coast,Healthcare,ML Engineer,4,17.46,Scikit-learn,1
Townsville,E-commerce,ML Engineer,2,6.39,Azure AI,1
Gold Coast,IT,ML Engineer,11,26.36,Azure AI,1
Perth,Finance,Data Analyst,9,21.26,Scikit-learn,0
Sydney,IT,Data Analyst,3,9.16,TensorFlow,1
Cairns,Manufacturing,AI Researcher,1,10.92,ChatGPT,1
Melbourne,Finance,Data Analyst,10,23.09,Scikit-learn,0
Perth,E-commerce,Data Scientist,11,24.73,PyTorch,1
Perth,Finance,Data Scientist,6,15.18,AWS AI,0
Wollongong,Healthcare,ML Engineer,2,11.85,AWS AI,0
Sydney,EdTech,AI Researcher,0,11.56,Scikit-learn,1
Wollongong,Healthcare,AI Engineer,11,25.07,Azure AI,0
Cairns,IT,Data Scientist,8,20.9,ChatGPT,1
Wollongong,Manufacturing,Data Analyst,1,4.18,PyTorch,1
Townsville,EdTech,ML Engineer,6,15.89,Scikit-learn,1
Melbourne,E-commerce,AI Researcher,2,11.48,TensorFlow,1
Adelaide,Manufacturing,AI Researcher,0,12.48,Azure AI,1
Gold Coast,Healthcare,AI Researcher,5,20.4,ChatGPT,1
Brisbane,E-commerce,ML Engineer,6,18.94,ChatGPT,1
Perth,E-commerce,Data Scientist,3,8.85,TensorFlow,1
Sydney,IT,Data Analyst,0,3.0,Azure AI,1
Perth,Manufacturing,ML Engineer,5,20.43,AWS AI,0
Adelaide,Manufacturing,AI Researcher,3,11.06,ChatGPT,1
Brisbane,EdTech,Data Scientist,6,15.78,PyTorch,1
Perth,EdTech,Data Scientist,3,10.94,PyTorch,1
Wollongong,EdTech,Data Scientist,8,19.81,AWS AI,0
Sydney,Healthcare,Data Scientist,10,21.41,PyTorch,0
Wollongong,Manufacturing,AI Researcher,1,11.36,TensorFlow,0
Sydney,Healthcare,AI Researcher,0,8.19,PyTorch,0
Brisbane,E-commerce,ML Engineer,8,22.67,ChatGPT,1
Townsville,EdTech,AI Engineer,2,7.56,ChatGPT,1
Gold Coast,IT,AI Engineer,2,3.86,TensorFlow,1
Adelaide,E-commerce,Data Scientist,8,22.75,PyTorch,1
Townsville,Finance,AI Researcher,1,12.19,Scikit-learn,1
Perth,IT,Data Analyst,11,22.96,ChatGPT,1
Sydney,EdTech,AI Researcher,7,25.16,Azure AI,1
Melbourne,Manufacturing,Data Analyst,5,12.8,TensorFlow,1
Melbourne,Finance,AI Engineer,7,17.62,AWS AI,1
Perth,EdTech,Data Scientist,3,7.75,AWS AI,0
Cairns,Healthcare,Data Analyst,10,25.53,AWS AI,1
Townsville,Healthcare,Data Analyst,11,25.56,PyTorch,1
Wollongong,EdTech,AI Engineer,8,18.46,Scikit-learn,0
Sydney,EdTech,Data Analyst,7,18.3,AWS AI,1
Perth,E-commerce,AI Engineer,1,6.77,TensorFlow,1
Brisbane,Finance,ML Engineer,8,25.3,ChatGPT,0
Cairns,Manufacturing,Data Scientist,8,22.15,PyTorch,0
Adelaide,E-commerce,ML Engineer,2,7.15,ChatGPT,0
Wollongong,Manufacturing,Data Analyst,8,20.6,PyTorch,1
Perth,E-commerce,Data Analyst,5,11.24,ChatGPT,0
Townsville,IT,AI Engineer,11,28.42,TensorFlow,1
Townsville,IT,ML Engineer,9,24.35,ChatGPT,1
Gold Coast,Manufacturing,AI Engineer,7,19.38,Scikit-learn,1
Gold Coast,Finance,Data Scientist,9,20.02,AWS AI,0
Brisbane,E-commerce,ML Engineer,5,16.19,TensorFlow,1
Perth,IT,AI Researcher,5,16.42,ChatGPT,1
Newcastle,IT,Data Analyst,11,22.94,Azure AI,1
Melbourne,Healthcare,AI Researcher,3,15.12,ChatGPT,1
Newcastle,Manufacturing,Data Analyst,5,10.14,Scikit-learn,1
Townsville,IT,ML Engineer,5,17.88,ChatGPT,1
Perth,Manufacturing,Data Analyst,4,7.29,AWS AI,1
Sydney,E-commerce,Data Analyst,3,13.45,TensorFlow,1
Wollongong,Finance,ML Engineer,1,8.46,PyTorch,1
Adelaide,IT,ML Engineer,3,13.04,ChatGPT,1
Wollongong,Finance,Data Analyst,3,12.47,ChatGPT,1
Gold Coast,EdTech,Data Scientist,9,25.44,AWS AI,1
Wollongong,Finance,AI Researcher,5,19.72,PyTorch,1
Perth,IT,Data Analyst,11,27.32,Scikit-learn,1
Gold Coast,Healthcare,AI Engineer,0,8.0,Scikit-learn,1
Newcastle,Manufacturing,Data Scientist,11,25.47,TensorFlow,0
Newcastle,E-commerce,AI Engineer,9,23.76,Scikit-learn,0
Wollongong,Manufacturing,Data Scientist,11,24.89,PyTorch,1
Melbourne,EdTech,AI Researcher,9,30.33,PyTorch,1
Brisbane,Finance,AI Engineer,6,17.96,Scikit-learn,1
Brisbane,Finance,Data Analyst,3,7.34,Azure AI,1
Perth,E-commerce,Data Scientist,7,19.54,Scikit-learn,1
Wollongong,Manufacturing,AI Researcher,4,13.13,Azure AI,0
Townsville,E-commerce,Data Scientist,4,13.26,ChatGPT,1
Adelaide,EdTech,AI Researcher,2,12.96,PyTorch,1
Wollongong,IT,Data Scientist,5,8.77,ChatGPT,0
Gold Coast,Manufacturing,Data Scientist,0,4.38,AWS AI,1
Newcastle,E-commerce,Data Scientist,5,15.93,AWS AI,1
Brisbane,EdTech,ML Engineer,7,18.36,AWS AI,0
Newcastle,E-commerce,ML Engineer,10,29.23,Scikit-learn,1
Perth,E-commerce,AI Engineer,3,10.52,TensorFlow,1
Brisbane,Healthcare,Data Scientist,7,15.82,TensorFlow,1
Newcastle,EdTech,AI Researcher,7,22.43,ChatGPT,1
Brisbane,Manufacturing,ML Engineer,1,8.38,PyTorch,1
Sydney,E-commerce,AI Researcher,5,18.72,AWS AI,1
Adelaide,E-commerce,Data Analyst,9,19.75,Azure AI,0
Adelaide,E-commerce,ML Engineer,1,10.5,ChatGPT,1
Townsville,EdTech,ML Engineer,6,18.64,AWS AI,0
Adelaide,EdTech,ML Engineer,11,32.57,AWS AI,0
