city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
Chicago,EdTech,AI Engineer,11,26.95,PyTorch,1
New York,Manufacturing,Data Scientist,7,16.73,TensorFlow,1
San Antonio,E-commerce,AI Engineer,2,6.45,PyTorch,1
San Diego,Finance,Data Analyst,3,12.9,ChatGPT,1
Dallas,IT,Data Scientist,2,6.35,ChatGPT,1
Los Angeles,EdTech,AI Engineer,4,13.63,TensorFlow,1
Phoenix,IT,AI Engineer,5,15.9,PyTorch,1
New York,E-commerce,AI Researcher,8,28.91,ChatGPT,1
Houston,Finance,Data Analyst,10,25.54,Azure AI,1
San Jose,Manufacturing,ML Engineer,6,22.56,TensorFlow,1
San Jose,EdTech,ML Engineer,5,19.86,Scikit-learn,1
Houston,Finance,AI Researcher,0,13.21,Scikit-learn,0
San Jose,Finance,Data Analyst,6,16.16,TensorFlow,1
Phoenix,Healthcare,Data Analyst,9,23.0,PyTorch,1
Philadelphia,Finance,Data Scientist,5,15.49,Azure AI,1
San Jose,Finance,ML Engineer,7,21.05,Azure AI,0
New York,EdTech,ML Engineer,2,13.9,Azure AI,1
Philadelphia,Healthcare,Data Scientist,2,12.2,PyTorch,1
San Antonio,Healthcare,Data Scientist,7,18.58,ChatGPT,1
Philadelphia,E-commerce,AI Engineer,9,19.54,AWS AI,1
Philadelphia,E-commerce,AI Researcher,0,14.15,AWS AI,1
San Jose,Finance,AI Researcher,8,25.4,PyTorch,1
Los Angeles,EdTech,Data Scientist,8,21.61,TensorFlow,1
San Antonio,Manufacturing,AI Researcher,9,26.54,Scikit-learn,0
San Antonio,Finance,ML Engineer,9,28.4,Azure AI,1
Houston,Healthcare,Data Analyst,4,11.65,TensorFlow,0
Dallas,Manufacturing,Data Analyst,3,15.06,ChatGPT,1
New York,E-commerce,ML Engineer,0,5.39,Azure AI,1
Houston,Manufacturing,ML Engineer,11,28.83,ChatGPT,1
Houston,IT,AI Researcher,6,22.62,TensorFlow,0
Dallas,Manufacturing,AI Researcher,0,12.21,Scikit-learn,1
Dallas,E-commerce,Data Analyst,10,23.91,ChatGPT,1
Chicago,Finance,ML Engineer,1,8.87,ChatGPT,0
Houston,Manufacturing,Data Analyst,8,19.79,Azure AI,1
San Antonio,Manufacturing,Data Scientist,2,11.15,ChatGPT,1
Dallas,Manufacturing,Data Scientist,11,26.67,Scikit-learn,1
San Diego,EdTech,Data Scientist,9,22.22,Azure AI,1
San Antonio,Finance,ML Engineer,10,31.93,ChatGPT,1
Philadelphia,E-commerce,ML Engineer,0,6.19,AWS AI,1
Chicago,E-commerce,Data Scientist,0,6.45,Scikit-learn,1
New York,Healthcare,Data Analyst,5,13.92,AWS AI,0
San Jose,Healthcare,AI Researcher,6,23.51,ChatGPT,1
Dallas,E-commerce,AI Researcher,7,24.47,AWS AI,1
San Antonio,EdTech,AI Engineer,5,18.21,Azure AI,0
San Jose,EdTech,AI Engineer,7,22.96,Azure AI,0
New York,Finance,Data Scientist,0,3.7,PyTorch,0
Los Angeles,Healthcare,Data Analyst,9,22.13,PyTorch,1
Phoenix,Manufacturing,Data Analyst,11,26.17,ChatGPT,1
San Antonio,EdTech,Data Analyst,2,10.84,PyTorch,1
Philadelphia,IT,AI Researcher,11,33.78,Azure AI,1
Phoenix,E-commerce,AI Researcher,0,13.2,Azure AI,1
Phoenix,Healthcare,AI Engineer,9,17.65,ChatGPT,1
San Diego,EdTech,ML Engineer,3,11.53,PyTorch,1
San Diego,E-commerce,AI Researcher,5,19.66,ChatGPT,0
San Antonio,EdTech,AI Engineer,4,9.81,Scikit-learn,0
Dallas,EdTech,Data Analyst,10,23.25,ChatGPT,1
Chicago,EdTech,Data Scientist,2,9.42,PyTorch,1
New York,Manufacturing,Data Analyst,8,23.32,Azure AI,1
San Diego,IT,Data Scientist,10,23.7,AWS AI,1
San Jose,E-commerce,ML Engineer,6,21.37,AWS AI,1
Phoenix,E-commerce,ML Engineer,8,23.82,Azure AI,1
Dallas,Manufacturing,ML Engineer,2,13.56,Azure AI,1
New York,E-commerce,ML Engineer,9,28.4,TensorFlow,0
Philadelphia,Finance,Data Analyst,5,13.66,TensorFlow,1
New York,IT,AI Researcher,5,21.37,Scikit-learn,1
New York,Manufacturing,Data Analyst,11,29.16,TensorFlow,1
Los Angeles,EdTech,AI Researcher,0,8.76,Scikit-learn,1
San Diego,Healthcare,AI Engineer,6,19.33,ChatGPT,1
Houston,EdTech,Data Scientist,3,14.17,Scikit-learn,1
San Diego,Healthcare,AI Researcher,3,17.75,ChatGPT,1
Phoenix,Healthcare,Data Analyst,5,10.14,Azure AI,1
New York,Finance,AI Researcher,11,31.98,Azure AI,0
Philadelphia,EdTech,ML Engineer,11,32.48,PyTorch,1
Philadelphia,E-commerce,Data Analyst,6,19.37,TensorFlow,1
New York,EdTech,AI Engineer,9,21.19,Azure AI,1
San Jose,E-commerce,AI Engineer,7,15.17,Scikit-learn,1
Houston,Finance,AI Engineer,1,9.26,AWS AI,0
New York,Healthcare,ML Engineer,3,14.13,Azure AI,1
San Jose,IT,AI Engineer,6,18.58,PyTorch,0
San Jose,IT,ML Engineer,9,28.08,TensorFlow,0
San Diego,IT,ML Engineer,11,30.99,TensorFlow,1
Los Angeles,Manufacturing,AI Engineer,5,15.15,Scikit-learn,1
Houston,Healthcare,ML Engineer,1,9.44,ChatGPT,1
Houston,EdTech,AI Researcher,2,18.03,TensorFlow,1
San Antonio,E-commerce,AI Researcher,4,19.96,TensorFlow,1
Los Angeles,IT,AI Engineer,6,16.76,ChatGPT,1
Houston,Healthcare,AI Researcher,6,21.93,Scikit-learn,0
Chicago,Healthcare,Data Scientist,11,28.5,ChatGPT,1
San Jose,Finance,Data Analyst,0,5.01,PyTorch,1
Phoenix,Healthcare,AI Researcher,3,19.34,ChatGPT,0
San Jose,Healthcare,AI Engineer,5,15.1,Scikit-learn,1
San Jose,E-commerce,AI Researcher,7,28.67,AWS AI,0
Houston,E-commerce,ML Engineer,8,27.27,Azure AI,1
San Antonio,EdTech,AI Engineer,8,23.5,Azure AI,1
San Diego,Healthcare,ML Engineer,6,23.83,Azure AI,1
San Diego,IT,AI Engineer,11,27.09,Scikit-learn,1
Chicago,EdTech,AI Researcher,9,27.59,TensorFlow,1
Phoenix,Finance,AI Researcher,1,11.81,TensorFlow,0
San Antonio,E-commerce,AI Researcher,0,11.16,Scikit-learn,1
San Diego,Healthcare,ML Engineer,9,26.99,AWS AI,1
Chicago,EdTech,AI Researcher,4,20.27,ChatGPT,1
Los Angeles,Healthcare,Data Analyst,7,22.11,TensorFlow,1
Philadelphia,Healthcare,Data Analyst,3,11.57,ChatGPT,1
San Jose,Healthcare,Data Analyst,10,24.47,AWS AI,1
Dallas,Manufacturing,Data Analyst,0,3.0,ChatGPT,0
Los Angeles,Healthcare,Data Analyst,1,7.82,Scikit-learn,0
Houston,Healthcare,Data Analyst,4,11.78,ChatGPT,1
San Antonio,EdTech,Data Analyst,1,8.0,PyTorch,0
Chicago,E-commerce,AI Engineer,0,6.08,AWS AI,1
Phoenix,Manufacturing,AI Engineer,11,24.68,Azure AI,1
Houston,IT,AI Engineer,11,29.31,Azure AI,1
San Jose,E-commerce,Data Scientist,1,7.83,PyTorch,1
Phoenix,Healthcare,AI Researcher,2,15.77,AWS AI,1
Los Angeles,E-commerce,Data Analyst,6,17.54,PyTorch,0
Phoenix,Healthcare,ML Engineer,4,14.34,ChatGPT,1
New York,Healthcare,AI Engineer,11,27.41,Scikit-learn,1
San Jose,IT,AI Researcher,2,11.82,AWS AI,1
New York,Finance,ML Engineer,2,14.08,PyTorch,0
Philadelphia,Healthcare,Data Scientist,11,24.38,PyTorch,1
San Jose,EdTech,Data Scientist,1,3.03,TensorFlow,0
Dallas,Healthcare,Data Analyst,4,10.39,AWS AI,1
New York,Finance,ML Engineer,1,12.67,PyTorch,0
San Antonio,Manufacturing,Data Scientist,8,25.28,TensorFlow,1
Los Angeles,Finance,ML Engineer,5,19.79,Scikit-learn,1
Dallas,Finance,AI Engineer,3,13.65,PyTorch,0
San Antonio,IT,Data Analyst,11,27.24,Scikit-learn,1
Phoenix,Healthcare,AI Engineer,2,6.13,Azure AI,1
San Antonio,EdTech,AI Engineer,1,5.32,ChatGPT,1
New York,EdTech,Data Scientist,1,7.65,Azure AI,1
San Jose,Finance,AI Researcher,5,18.32,TensorFlow,1
New York,EdTech,AI Engineer,5,12.81,PyTorch,1
Houston,E-commerce,ML Engineer,8,24.37,Azure AI,1
Phoenix,Healthcare,ML Engineer,8,26.04,Scikit-learn,1
San Diego,E-commerce,AI Engineer,10,25.42,AWS AI,1
Chicago,IT,AI Researcher,9,28.94,PyTorch,1
San Diego,Finance,AI Engineer,8,18.05,TensorFlow,0
Dallas,EdTech,AI Engineer,0,3.4,ChatGPT,1
New York,Finance,AI Researcher,5,20.22,PyTorch,0
San Antonio,E-commerce,AI Researcher,8,22.87,AWS AI,0
New York,E-commerce,Data Analyst,0,5.56,Scikit-learn,1
Dallas,Healthcare,AI Engineer,5,15.63,AWS AI,0
New York,E-commerce,Data Scientist,9,24.18,AWS AI,0
Chicago,Manufacturing,Data Analyst,9,21.52,TensorFlow,1
Phoenix,EdTech,AI Researcher,6,21.91,ChatGPT,0
San Jose,EdTech,Data Analyst,8,23.15,ChatGPT,0
Phoenix,Manufacturing,ML Engineer,0,12.29,Scikit-learn,1
Philadelphia,Healthcare,Data Scientist,10,28.92,Scikit-learn,0
Chicago,Finance,AI Researcher,4,15.66,ChatGPT,1
San Jose,Manufacturing,AI Researcher,5,19.57,PyTorch,1
San Antonio,Manufacturing,Data Scientist,7,16.84,Azure AI,1
Chicago,E-commerce,Data Analyst,8,19.68,PyTorch,1
Dallas,Healthcare,ML Engineer,7,24.77,AWS AI,1
San Antonio,Finance,AI Researcher,10,31.31,PyTorch,1
Houston,EdTech,Data Analyst,1,4.57,Azure AI,1
San Antonio,Finance,ML Engineer,11,29.19,Azure AI,1
San Antonio,Manufacturing,AI Researcher,7,26.28,Scikit-learn,0
Phoenix,Finance,AI Researcher,0,9.69,AWS AI,1
Houston,IT,AI Engineer,3,12.77,ChatGPT,1
San Jose,EdTech,AI Engineer,5,14.22,Scikit-learn,1
Philadelphia,Finance,ML Engineer,0,11.95,Azure AI,1
Chicago,Healthcare,Data Scientist,10,24.82,Scikit-learn,1
Los Angeles,Manufacturing,Data Scientist,0,6.51,PyTorch,1
Chicago,E-commerce,AI Engineer,11,27.28,PyTorch,1
Philadelphia,Finance,AI Researcher,6,23.55,Scikit-learn,1
Dallas,E-commerce,Data Analyst,6,16.11,TensorFlow,1
San Diego,EdTech,AI Researcher,8,25.01,AWS AI,1
San Diego,Finance,AI Engineer,3,10.86,AWS AI,0
San Jose,E-commerce,Data Analyst,2,9.92,ChatGPT,1
New York,IT,AI Researcher,2,14.12,Azure AI,0
New York,IT,Data Scientist,5,16.78,AWS AI,1
San Diego,IT,Data Analyst,3,11.5,PyTorch,0
Philadelphia,Manufacturing,AI Engineer,6,16.9,ChatGPT,1
Houston,E-commerce,Data Analyst,3,10.42,ChatGPT,1
Philadelphia,Finance,Data Scientist,0,4.47,TensorFlow,1
Houston,IT,AI Engineer,11,28.78,Scikit-learn,1
New York,IT,Data Scientist,0,3.92,Scikit-learn,1
Dallas,IT,Data Analyst,3,8.64,ChatGPT,1
Phoenix,Healthcare,ML Engineer,8,21.65,TensorFlow,0
Philadelphia,IT,Data Analyst,7,20.91,PyTorch,0
Chicago,Healthcare,AI Researcher,3,21.71,AWS AI,0
Los Angeles,IT,Data Scientist,5,16.08,Scikit-learn,1
San Antonio,EdTech,ML Engineer,4,16.75,ChatGPT,0
San Antonio,Healthcare,AI Engineer,5,10.89,ChatGPT,1
Los Angeles,Finance,Data Scientist,11,25.4,Scikit-learn,1
Chicago,E-commerce,Data Analyst,2,10.33,AWS AI,1
Houston,Healthcare,AI Engineer,10,26.72,AWS AI,1
Phoenix,E-commerce,AI Engineer,9,21.57,Scikit-learn,1
Phoenix,Healthcare,AI Engineer,4,9.3,Azure AI,1
Phoenix,Finance,Data Analyst,10,26.7,Scikit-learn,1
New York,EdTech,Data Analyst,8,22.31,ChatGPT,1
Houston,EdTech,ML Engineer,11,32.18,Azure AI,1
Los Angeles,Manufacturing,Data Analyst,8,23.18,ChatGPT,0
Dallas,Healthcare,AI Engineer,1,8.87,ChatGPT,1
Dallas,E-commerce,Data Scientist,9,26.68,ChatGPT,0
Philadelphia,Healthcare,Data Scientist,5,12.99,AWS AI,1
San Antonio,E-commerce,Data Analyst,4,12.24,ChatGPT,0
Dallas,E-commerce,Data Scientist,8,22.21,AWS AI,0
San Antonio,E-commerce,AI Researcher,4,18.7,PyTorch,1
Philadelphia,IT,AI Engineer,8,21.52,TensorFlow,1
San Antonio,Finance,AI Engineer,8,22.94,AWS AI,1
San Diego,EdTech,Data Scientist,8,18.38,TensorFlow,1
Philadelphia,Manufacturing,Data Scientist,7,17.75,TensorFlow,1
San Antonio,Finance,ML Engineer,7,24.19,Azure AI,1
San Diego,E-commerce,AI Engineer,6,13.76,ChatGPT,1
San Diego,Manufacturing,ML Engineer,8,27.01,PyTorch,1
Los Angeles,EdTech,AI Engineer,3,11.53,ChatGPT,1
San Jose,EdTech,Data Scientist,6,14.78,TensorFlow,0
San Antonio,IT,Data Scientist,11,28.65,Azure AI,1
New York,Healthcare,ML Engineer,9,28.66,PyTorch,1
San Antonio,Healthcare,AI Engineer,0,3.21,ChatGPT,1
Philadelphia,Healthcare,Data Analyst,6,15.96,PyTorch,0
Phoenix,E-commerce,AI Researcher,0,10.77,Azure AI,1
Phoenix,Manufacturing,AI Engineer,7,19.09,ChatGPT,0
Chicago,EdTech,AI Researcher,11,34.08,AWS AI,1
Los Angeles,Finance,Data Scientist,8,23.46,ChatGPT,0
Phoenix,Manufacturing,Data Scientist,4,14.84,Scikit-learn,1
Phoenix,IT,ML Engineer,0,6.39,Azure AI,1
Dallas,Healthcare,Data Scientist,1,5.67,TensorFlow,0
Phoenix,Healthcare,ML Engineer,9,27.33,PyTorch,0
Phoenix,IT,AI Engineer,9,22.6,ChatGPT,1
San Diego,Manufacturing,AI Engineer,4,11.33,PyTorch,1
San Antonio,Finance,AI Researcher,11,29.01,Scikit-learn,1
Dallas,Manufacturing,AI Engineer,6,13.65,Scikit-learn,0
San Diego,IT,Data Analyst,11,26.36,PyTorch,1
New York,IT,Data Scientist,7,21.21,AWS AI,1
San Antonio,Finance,AI Engineer,0,6.71,AWS AI,1
Los Angeles,Manufacturing,AI Researcher,1,12.92,PyTorch,0
New York,IT,AI Engineer,0,4.23,PyTorch,1
Philadelphia,IT,ML Engineer,10,31.79,Scikit-learn,1
San Diego,Finance,ML Engineer,8,25.94,PyTorch,1
San Jose,E-commerce,Data Scientist,4,15.47,Scikit-learn,0
Philadelphia,Healthcare,Data Analyst,4,14.21,AWS AI,0
San Antonio,IT,AI Engineer,1,7.5,Scikit-learn,1
New York,IT,Data Scientist,11,24.3,Scikit-learn,1
New York,Finance,AI Engineer,7,20.55,TensorFlow,1
Philadelphia,E-commerce,Data Analyst,8,15.51,TensorFlow,1
Philadelphia,EdTech,Data Scientist,1,8.9,Azure AI,1
Dallas,IT,AI Engineer,4,12.78,AWS AI,0
Houston,IT,AI Researcher,10,28.4,AWS AI,1
Los Angeles,Healthcare,ML Engineer,9,28.36,Azure AI,1
Los Angeles,IT,ML Engineer,5,19.75,TensorFlow,1
San Diego,IT,AI Researcher,4,21.54,TensorFlow,1
San Antonio,Finance,Data Analyst,6,19.47,AWS AI,1
San Diego,Finance,AI Engineer,2,11.39,PyTorch,0
Houston,IT,Data Analyst,5,12.98,PyTorch,1
Phoenix,Manufacturing,AI Researcher,11,30.82,TensorFlow,0
Philadelphia,E-commerce,AI Engineer,7,19.52,Azure AI,1
San Diego,Finance,AI Engineer,3,13.89,ChatGPT,1
Dallas,E-commerce,Data Analyst,3,12.34,TensorFlow,1
Los Angeles,Finance,Data Analyst,2,11.5,PyTorch,1
San Diego,Healthcare,ML Engineer,2,14.78,AWS AI,1
Chicago,Finance,ML Engineer,5,13.37,ChatGPT,0
Dallas,E-commerce,ML Engineer,5,21.22,PyTorch,1
Houston,IT,ML Engineer,5,18.41,AWS AI,1
San Jose,Healthcare,AI Researcher,4,18.19,AWS AI,1
New York,E-commerce,Data Scientist,10,28.53,Azure AI,0
Phoenix,Healthcare,AI Researcher,0,14.58,AWS AI,1
Los Angeles,IT,AI Researcher,2,16.02,Azure AI,1
Los Angeles,Healthcare,AI Researcher,6,25.13,Scikit-learn,0
Phoenix,Manufacturing,Data Analyst,11,22.62,Azure AI,1
Philadelphia,EdTech,Data Scientist,3,11.4,Scikit-learn,1
Chicago,Healthcare,AI Researcher,4,20.13,Azure AI,0
Dallas,EdTech,Data Analyst,10,25.48,ChatGPT,1
Dallas,EdTech,Data Scientist,3,10.62,TensorFlow,0
San Jose,Finance,Data Scientist,2,7.74,TensorFlow,1
San Diego,E-commerce,ML Engineer,6,23.99,ChatGPT,1
San Jose,E-commerce,Data Analyst,10,24.49,PyTorch,0
Houston,EdTech,Data Scientist,2,8.74,AWS AI,1
Chicago,IT,Data Analyst,5,18.05,Scikit-learn,1
Los Angeles,Finance,Data Analyst,4,12.18,ChatGPT,1
Houston,Manufacturing,Data Scientist,11,24.57,PyTorch,0
San Antonio,IT,AI Engineer,2,8.42,AWS AI,1
San Antonio,Manufacturing,ML Engineer,4,18.89,PyTorch,1
Chicago,EdTech,ML Engineer,9,28.46,ChatGPT,0
Phoenix,IT,Data Scientist,1,8.53,TensorFlow,1
Philadelphia,Healthcare,ML Engineer,4,19.96,Scikit-learn,1
San Jose,E-commerce,ML Engineer,2,8.89,Azure AI,1
Philadelphia,IT,ML Engineer,11,28.86,Azure AI,1
Houston,Finance,Data Analyst,9,22.76,Scikit-learn,1
New York,IT,Data Analyst,3,10.66,TensorFlow,1
Dallas,Manufacturing,AI Researcher,1,13.42,ChatGPT,1
Los Angeles,Finance,Data Analyst,10,24.59,Scikit-learn,0
Houston,E-commerce,Data Scientist,11,26.23,PyTorch,1
Houston,Finance,Data Scientist,6,16.68,AWS AI,0
San Diego,Healthcare,ML Engineer,2,14.35,AWS AI,1
New York,EdTech,AI Researcher,0,14.06,Scikit-learn,1
San Diego,Healthcare,AI Engineer,11,26.57,Azure AI,0
Dallas,IT,Data Scientist,8,22.4,ChatGPT,1
San Diego,Manufacturing,Data Analyst,1,5.68,PyTorch,1
San Jose,EdTech,ML Engineer,6,18.39,Scikit-learn,1
Los Angeles,E-commerce,AI Researcher,2,13.98,TensorFlow,1
Phoenix,Manufacturing,AI Researcher,0,14.98,Azure AI,1
Philadelphia,Healthcare,AI Researcher,5,22.9,ChatGPT,1
Chicago,E-commerce,ML Engineer,6,21.44,ChatGPT,1
Houston,E-commerce,Data Scientist,3,10.35,TensorFlow,1
New York,IT,Data Analyst,0,3.23,Azure AI,1
Houston,Manufacturing,ML Engineer,5,22.93,AWS AI,1
Phoenix,Manufacturing,AI Researcher,3,13.56,ChatGPT,1
Chicago,EdTech,Data Scientist,6,17.28,PyTorch,1
Houston,EdTech,Data Scientist,3,12.44,PyTorch,1
San Diego,EdTech,Data Scientist,8,21.31,AWS AI,0
New York,Healthcare,Data Scientist,10,22.91,PyTorch,0
San Diego,Manufacturing,AI Researcher,1,13.86,TensorFlow,1
New York,Healthcare,AI Researcher,0,10.69,PyTorch,1
Chicago,E-commerce,ML Engineer,8,25.17,ChatGPT,1
San Jose,EdTech,AI Engineer,2,9.06,ChatGPT,1
Philadelphia,IT,AI Engineer,2,5.36,TensorFlow,1
Phoenix,E-commerce,Data Scientist,8,24.25,PyTorch,1
San Jose,Finance,AI Researcher,1,14.69,Scikit-learn,1
Houston,IT,Data Analyst,11,24.46,ChatGPT,1
New York,EdTech,AI Researcher,7,27.66,Azure AI,1
Los Angeles,Manufacturing,Data Analyst,5,14.3,TensorFlow,1
Los Angeles,Finance,AI Engineer,7,19.12,AWS AI,1
Houston,EdTech,Data Scientist,3,9.25,AWS AI,0
Dallas,Healthcare,Data Analyst,10,27.03,AWS AI,1
San Jose,Healthcare,Data Analyst,11,27.06,PyTorch,1
San Diego,EdTech,AI Engineer,8,19.96,Scikit-learn,1
New York,EdTech,Data Analyst,7,19.8,AWS AI,1
Houston,E-commerce,AI Engineer,1,8.27,TensorFlow,1
Chicago,Finance,ML Engineer,8,27.8,ChatGPT,0
Dallas,Manufacturing,Data Scientist,8,23.65,PyTorch,0
Phoenix,E-commerce,ML Engineer,2,9.65,ChatGPT,0
San Diego,Manufacturing,Data Analyst,8,22.1,PyTorch,1
Houston,E-commerce,Data Analyst,5,12.74,ChatGPT,1
San Jose,IT,AI Engineer,11,29.92,TensorFlow,1
San Jose,IT,ML Engineer,9,26.85,ChatGPT,1
Philadelphia,Manufacturing,AI Engineer,7,20.88,Scikit-learn,1
Philadelphia,Finance,Data Scientist,9,21.52,AWS AI,0
Chicago,E-commerce,ML Engineer,5,18.69,TensorFlow,1
Houston,IT,AI Researcher,5,18.92,ChatGPT,1
San Antonio,IT,Data Analyst,11,24.44,Azure AI,1
Los Angeles,Healthcare,AI Researcher,3,17.62,ChatGPT,1
San Antonio,Manufacturing,Data Analyst,5,11.64,Scikit-learn,1
San Jose,IT,ML Engineer,5,20.38,ChatGPT,1
Houston,Manufacturing,Data Analyst,4,8.79,AWS AI,1
New York,E-commerce,Data Analyst,3,14.95,TensorFlow,1
San Diego,Finance,ML Engineer,1,10.96,PyTorch,1
Phoenix,IT,ML Engineer,3,15.54,ChatGPT,1
San Diego,Finance,Data Analyst,3,13.97,ChatGPT,1
Philadelphia,EdTech,Data Scientist,9,26.94,AWS AI,1
San Diego,Finance,AI Researcher,5,22.22,PyTorch,1
Houston,IT,Data Analyst,11,28.82,Scikit-learn,1
Philadelphia,Healthcare,AI Engineer,0,9.5,Scikit-learn,1
San Antonio,Manufacturing,Data Scientist,11,26.97,TensorFlow,0
San Antonio,E-commerce,AI Engineer,9,25.26,Scikit-learn,0
San Diego,Manufacturing,Data Scientist,11,26.39,PyTorch,1
Los Angeles,EdTech,AI Researcher,9,32.83,PyTorch,1
Chicago,Finance,AI Engineer,6,19.46,Scikit-learn,1
Chicago,Finance,Data Analyst,3,8.84,Azure AI,1
Houston,E-commerce,Data Scientist,7,21.04,Scikit-learn,1
San Diego,Manufacturing,AI Researcher,4,15.63,Azure AI,0
San Jose,E-commerce,Data Scientist,4,14.76,ChatGPT,1
Phoenix,EdTech,AI Researcher,2,15.46,PyTorch,1
San Diego,IT,Data Scientist,5,10.27,ChatGPT,1
Philadelphia,Manufacturing,Data Scientist,0,5.88,AWS AI,1
San Antonio,E-commerce,Data Scientist,5,17.43,AWS AI,1
Chicago,EdTech,ML Engineer,7,20.86,AWS AI,1
San Antonio,E-commerce,ML Engineer,10,31.73,Scikit-learn,1
Houston,E-commerce,AI Engineer,3,12.02,TensorFlow,1
Chicago,Healthcare,Data Scientist,7,17.32,TensorFlow,1
San Antonio,EdTech,AI Researcher,7,24.93,ChatGPT,1
Chicago,Manufacturing,ML Engineer,1,10.88,PyTorch,1
New York,E-commerce,AI Researcher,5,21.22,AWS AI,1
Phoenix,E-commerce,Data Analyst,9,21.25,Azure AI,0
Phoenix,E-commerce,ML Engineer,1,13.0,ChatGPT,1
San Jose,EdTech,ML Engineer,6,21.14,AWS AI,1
Phoenix,EdTech,ML Engineer,11,35.07,AWS AI,0
Chicago,EdTech,Data Analyst,10,23.33,Scikit-learn,1
Houston,IT,Data Scientist,11,26.33,TensorFlow,1
Phoenix,Finance,Data Analyst,5,13.93,TensorFlow,0
Philadelphia,Finance,Data Analyst,8,20.32,TensorFlow,1
Dallas,E-commerce,Data Analyst,1,8.22,Scikit-learn,1
